21;3;50;0.257;0.002;21.08;
21;4;42;0.254;0.002;20.29;
21;5;30;0.262;0.003;18.95;
21;6;18;0.330;0.006;17.74;
21;7;11;0.336;0.009;15.67;
21;8;10;0.259;0.010;14.13;
21;9;18;0.230;0.006;16.18;
22;0;30;0.270;0.003;19.09;
22;1;42;0.253;0.002;20.27;
22;2;49;0.256;0.002;20.98;
22;3;50;0.257;0.002;21.09;
22;4;42;0.253;0.002;20.27;
22;5;30;0.247;0.003;18.71;
22;6;18;0.311;0.006;17.48;
22;7;11;0.358;0.009;15.96;
22;8;10;0.258;0.010;14.12;
22;9;18;0.236;0.006;16.29;
23;0;30;0.273;0.003;19.13;
23;1;42;0.253;0.002;20.27;
23;2;49;0.255;0.002;20.97;
23;3;50;0.257;0.002;21.09;
23;4;42;0.255;0.002;20.30;
23;5;30;0.219;0.003;18.17;
23;6;18;0.279;0.006;17.01;
23;7;11;0.390;0.009;16.33;
23;8;10;0.261;0.010;14.16;
23;9;18;0.250;0.006;16.54;
24;0;30;0.279;0.003;19.23;
24;1;42;0.252;0.002;20.24;
24;2;49;0.255;0.002;20.97;
24;3;50;0.256;0.002;21.07;
24;4;42;0.256;0.002;20.31;
24;5;30;0.294;0.003;19.46;
24;6;18;0.365;0.006;18.17;
24;7;11;0.263;0.009;14.62;
24;8;10;0.257;0.010;14.09;
24;9;18;0.196;0.006;15.47;
25;0;30;0.284;0.003;19.30;
25;1;42;0.253;0.002;20.27;
25;2;49;0.254;0.002;20.95;
25;3;50;0.256;0.002;21.07;
25;4;42;0.255;0.002;20.30;
25;5;30;0.296;0.003;19.49;
25;6;18;0.361;0.006;18.13;
25;7;11;0.265;0.009;14.64;
25;8;10;0.255;0.010;14.06;
25;9;18;0.189;0.006;15.31;
26;0;30;0.285;0.003;19.32;
26;1;42;0.254;0.002;20.28;
26;2;49;0.255;0.002;20.97;
26;3;50;0.257;0.002;21.09;
26;4;42;0.252;0.002;20.25;
26;5;30;0.258;0.003;18.89;
26;6;18;0.356;0.006;18.07;
26;7;11;0.288;0.009;15.00;
26;8;10;0.265;0.010;14.23;
26;9;18;0.210;0.006;15.77;
27;0;30;0.286;0.003;19.33;
27;1;42;0.254;0.002;20.27;
27;2;49;0.256;0.002;20.99;
27;3;50;0.257;0.002;21.09;
27;4;42;0.255;0.002;20.30;
27;5;30;0.253;0.003;18.80;
27;6;18;0.369;0.006;18.22;
27;7;11;0.266;0.009;14.66;
27;8;10;0.264;0.010;14.22;
27;9;18;0.209;0.006;15.75;
28;0;30;0.286;0.003;19.34;
28;1;42;0.254;0.002;20.29;
28;2;49;0.256;0.002;20.98;
28;3;50;0.257;0.002;21.08;
28;4;42;0.254;0.002;20.28;
28;5;30;0.253;0.003;18.81;
28;6;18;0.373;0.006;18.26;
28;7;11;0.264;0.009;14.63;
28;8;10;0.261;0.010;14.16;
28;9;18;0.204;0.006;15.64;
29;0;30;0.292;0.003;19.42;
29;1;42;0.253;0.002;20.26;
29;2;49;0.255;0.002;20.97;
29;3;50;0.257;0.002;21.09;
29;4;42;0.255;0.002;20.30;
29;5;30;0.259;0.003;18.90;
29;6;18;0.362;0.006;18.14;
29;7;11;0.261;0.009;14.59;
29;8;10;0.259;0.010;14.14;
29;9;18;0.200;0.006;15.56;
30;0;30;0.293;0.003;19.44;
30;1;42;0.252;0.002;20.24;
30;2;49;0.256;0.002;20.98;
30;3;50;0.257;0.002;21.09;
30;4;42;0.254;0.002;20.29;
30;5;30;0.213;0.003;18.06;
30;6;18;0.331;0.006;17.75;
30;7;11;0.328;0.009;15.57;
30;8;10;0.262;0.010;14.18;
30;9;18;0.225;0.006;16.07;
31;0;30;0.297;0.003;19.51;
31;1;42;0.252;0.002;20.25;
31;2;49;0.258;0.002;21.02;
31;3;50;0.256;0.002;21.07;
31;4;42;0.253;0.002;20.27;
31;5;30;0.216;0.003;18.12;
31;6;18;0.336;0.006;17.82;
31;7;11;0.315;0.009;15.40;
31;8;10;0.261;0.010;14.17;
31;9;18;0.225;0.006;16.07;
32;0;30;0.297;0.003;19.50;
32;1;42;0.254;0.002;20.27;
32;2;49;0.257;0.002;21.00;
