lev0 , cycle ,1, countPeriod ,3, count ,11,3
lev0 , cycle ,1, countPeriod ,3, count ,12,2
lev0 , cycle ,1, countPeriod ,3, count ,13,3
lev0 , cycle ,1, countPeriod ,3, count ,14,2
lev0 , cycle ,1, countPeriod ,3, count ,15,2
lev0 , cycle ,1, countPeriod ,3, count ,16,3
lev0 , cycle ,1, countPeriod ,3, count ,17,3
lev0 , cycle ,1, countPeriod ,3, count ,18,2
lev0 , cycle ,1, countPeriod ,3, count ,19,2
lev0 , cycle ,1, countPeriod ,3, count ,20,3
lev0 , cycle ,1, countPeriod ,3, count ,21,2
lev0 , cycle ,1, countPeriod ,3, count ,22,2
lev0 , cycle ,1, countPeriod ,3, count ,23,2
lev0 , cycle ,1, countPeriod ,3, count ,24,2
lev0 , cycle ,1, countPeriod ,3, count ,25,3
lev0 , cycle ,1, countPeriod ,3, count ,26,2
lev0 , cycle ,1, countPeriod ,3, count ,27,2
lev0 , cycle ,1, countPeriod ,3, count ,28,2
lev0 , cycle ,1, countPeriod ,3, count ,29,2
lev0 , cycle ,1, countPeriod ,3, count ,30,2
lev0 , cycle ,1, countPeriod ,3, count ,31,2
lev0 , cycle ,1, countPeriod ,3, count ,32,2
lev0 , cycle ,1, countPeriod ,3, count ,33,2
lev0 , cycle ,1, countPeriod ,3, count ,34,2
lev0 , cycle ,1, countPeriod ,3, count ,35,3
lev0 , cycle ,1, countPeriod ,3, count ,36,2
lev0 , cycle ,1, countPeriod ,3, count ,37,2
lev0 , cycle ,1, countPeriod ,3, count ,38,3
lev0 , cycle ,1, countPeriod ,3, count ,39,2
lev0 , cycle ,1, countPeriod ,3, count ,40,2
lev0 , cycle ,1, countPeriod ,3, count ,41,3
lev0 , cycle ,1, countPeriod ,3, count ,42,3
lev0 , cycle ,1, countPeriod ,3, count ,43,3
lev0 , cycle ,1, countPeriod ,3, count ,44,2
lev0 , cycle ,1, countPeriod ,3, count ,45,3
lev0 , cycle ,1, countPeriod ,3, count ,46,3
lev0 , cycle ,1, countPeriod ,3, count ,47,2
lev0 , cycle ,1, countPeriod ,3, count ,48,3
lev0 , cycle ,1, countPeriod ,3, count ,49,2
lev0 , cycle ,1, countPeriod ,4, count ,0,2
lev0 , cycle ,1, countPeriod ,4, count ,1,1
lev0 , cycle ,1, countPeriod ,4, count ,2,1
lev0 , cycle ,1, countPeriod ,4, count ,3,2
lev0 , cycle ,1, countPeriod ,4, count ,4,3
lev0 , cycle ,1, countPeriod ,4, count ,5,2
lev0 , cycle ,1, countPeriod ,4, count ,6,2
lev0 , cycle ,1, countPeriod ,4, count ,7,3
lev0 , cycle ,1, countPeriod ,4, count ,8,2
lev0 , cycle ,1, countPeriod ,4, count ,9,2
lev0 , cycle ,1, countPeriod ,4, count ,10,2
lev0 , cycle ,1, countPeriod ,4, count ,11,2
lev0 , cycle ,1, countPeriod ,4, count ,12,2
lev0 , cycle ,1, countPeriod ,4, count ,13,3
lev0 , cycle ,1, countPeriod ,4, count ,14,2
lev0 , cycle ,1, countPeriod ,4, count ,15,2
lev0 , cycle ,1, countPeriod ,4, count ,16,3
lev0 , cycle ,1, countPeriod ,4, count ,17,3
lev0 , cycle ,1, countPeriod ,4, count ,18,2
lev0 , cycle ,1, countPeriod ,4, count ,19,1
lev0 , cycle ,1, countPeriod ,4, count ,20,1
lev0 , cycle ,1, countPeriod ,4, count ,21,3
lev0 , cycle ,1, countPeriod ,4, count ,22,3
lev0 , cycle ,1, countPeriod ,4, count ,23,2
lev0 , cycle ,1, countPeriod ,4, count ,24,2
lev0 , cycle ,1, countPeriod ,4, count ,25,2
lev0 , cycle ,1, countPeriod ,4, count ,26,3
lev0 , cycle ,1, countPeriod ,4, count ,27,4
